Type,EntryTime,ExitTime,EntryPrice,ExitPrice,StopLoss,TakeProfit,AnchorTime,AVWAPType,EntryAVWAP,EntryTrendSRSI_K,EntryShortSRSI_K,EntryADX
Short,2025-11-12 17:59:00+00:00,2025-11-12 18:19:00+00:00,51235.81445586556,51240.3,51372.75633492603,50551.10506056323,2025-11-12 13:40:00+00:00,high,51235.81445586556,90.4850376045878,27.239696434515565,41.51102399809588
Short,2025-11-12 18:20:00+00:00,2025-11-12 18:37:00+00:00,51234.88645217659,51235.5,51372.089625589884,50548.87058511014,2025-11-12 13:40:00+00:00,high,51234.88645217659,90.4850376045878,17.318028343244475,41.51102399809588
Short,2025-11-12 18:38:00+00:00,2025-11-12 18:39:00+00:00,51234.530537275314,51250.1,51371.733710688604,50548.51467020886,2025-11-12 13:40:00+00:00,high,51234.530537275314,90.4850376045878,17.318028343244475,41.51102399809588
Short,2025-11-12 18:44:00+00:00,2025-11-12 18:51:00+00:00,51234.78990799031,51236.2,51371.9930814036,50548.774040923854,2025-11-12 13:40:00+00:00,high,51234.78990799031,90.4850376045878,17.318028343244475,41.51102399809588
Short,2025-11-12 18:52:00+00:00,2025-11-12 18:55:00+00:00,51234.72648849153,51242.1,51368.993720946724,50563.390326215536,2025-11-12 13:40:00+00:00,high,51234.72648849153,90.4850376045878,12.994615264955758,41.51102399809588
Short,2025-11-12 18:56:00+00:00,2025-11-12 18:57:00+00:00,51234.79995284353,51241.9,51369.06718529873,50563.46379056754,2025-11-12 13:40:00+00:00,high,51234.79995284353,90.4850376045878,12.994615264955758,41.51102399809588
Short,2025-11-12 18:58:00+00:00,2025-11-12 18:59:00+00:00,51234.83944376586,51238.6,51369.106676221054,50563.503281489866,2025-11-12 13:40:00+00:00,high,51234.83944376586,90.4850376045878,12.994615264955758,41.51102399809588
Short,2025-11-12 19:00:00+00:00,2025-11-12 19:01:00+00:00,51234.89903666292,51235.0,51369.16626911812,50563.56287438693,2025-11-12 13:40:00+00:00,high,51234.89903666292,90.4850376045878,12.994615264955758,41.51102399809588
Short,2025-11-12 19:02:00+00:00,2025-11-12 19:03:00+00:00,51234.951925939706,51249.4,51369.2191583949,50563.615763663714,2025-11-12 13:40:00+00:00,high,51234.951925939706,90.4850376045878,12.994615264955758,41.51102399809588
Short,2025-11-12 19:04:00+00:00,2025-11-12 20:31:00+00:00,51235.031870776635,51229.0,51369.29910323183,50563.69570850064,2025-11-12 13:40:00+00:00,high,51235.031870776635,90.4850376045878,12.994615264955758,41.51102399809588
Short,2025-11-12 20:32:00+00:00,2025-11-12 20:33:00+00:00,51226.66369746601,51239.6,51354.81452545033,50585.909557544364,2025-11-12 13:40:00+00:00,high,51226.66369746601,91.19152429512626,6.38338261483844,39.867977476203706
Short,2025-11-12 20:36:00+00:00,2025-11-12 20:41:00+00:00,51226.78301082701,51229.6,51354.93383881133,50586.028870905364,2025-11-12 13:40:00+00:00,high,51226.78301082701,91.19152429512626,6.38338261483844,39.867977476203706
Short,2025-11-12 20:42:00+00:00,2025-11-12 20:44:00+00:00,51226.78670295786,51236.9,51354.93753094219,50586.03256303622,2025-11-12 13:40:00+00:00,high,51226.78670295786,91.19152429512626,6.38338261483844,39.867977476203706
Short,2025-11-12 20:45:00+00:00,2025-11-12 20:47:00+00:00,51226.80529110563,51231.6,51354.956119089955,50586.05115118399,2025-11-12 13:40:00+00:00,high,51226.80529110563,91.19152429512626,6.38338261483844,39.867977476203706
Short,2025-11-12 20:48:00+00:00,2025-11-12 20:49:00+00:00,51226.83336985681,51227.4,51354.984197841135,50586.07922993517,2025-11-12 13:40:00+00:00,high,51226.83336985681,91.19152429512626,6.38338261483844,39.867977476203706
Short,2025-11-12 20:55:00+00:00,2025-11-12 20:59:00+00:00,51227.1945370474,51235.8,51355.345365031724,50586.440397125756,2025-11-12 13:40:00+00:00,high,51227.1945370474,91.19152429512626,6.38338261483844,39.867977476203706
Short,2025-11-12 23:04:00+00:00,2025-11-12 23:05:00+00:00,51235.392126342296,51261.1,51370.4170786315,50560.26736489629,2025-11-12 13:40:00+00:00,high,51235.392126342296,91.19152429512626,72.65227120412608,39.867977476203706
Short,2025-11-12 23:13:00+00:00,2025-11-13 00:09:00+00:00,51235.78938359724,51224.1,51235.78938359724,50560.664622151235,2025-11-12 13:40:00+00:00,high,51235.78938359724,91.19152429512626,72.65227120412608,39.867977476203706
Short,2025-11-13 00:10:00+00:00,2025-11-13 01:05:00+00:00,51222.966260653964,51222.966260653964,51222.966260653964,50491.20562450919,2025-11-12 13:40:00+00:00,high,51222.966260653964,80.30409178357877,23.66210848906168,37.55117530833991
Short,2025-11-13 01:50:00+00:00,2025-11-13 02:16:00+00:00,51212.37327419885,51227.0,51382.25189410545,50362.980174665856,2025-11-12 13:40:00+00:00,high,51212.37327419885,80.30409178357877,18.07055039470824,37.55117530833991
Short,2025-11-13 02:19:00+00:00,2025-11-13 03:59:00+00:00,51211.875032892545,51204.4,51384.26946566296,50349.90286904048,2025-11-12 13:40:00+00:00,high,51211.875032892545,80.30409178357877,31.57757555841942,37.55117530833991
Short,2025-11-13 04:00:00+00:00,2025-11-13 04:24:00+00:00,51204.00131003499,51214.0,51373.00212196458,50358.99725038703,2025-11-12 13:40:00+00:00,high,51204.00131003499,77.17185799278437,30.556238422854893,35.44797891719663
Short,2025-11-13 04:29:00+00:00,2025-11-13 04:31:00+00:00,51203.625528878605,51206.8,51372.626340808194,50358.621469230646,2025-11-12 13:40:00+00:00,high,51203.625528878605,77.17185799278437,30.556238422854893,35.44797891719663
Short,2025-11-13 04:32:00+00:00,2025-11-13 04:33:00+00:00,51203.626117294276,51210.2,51370.63401408604,50368.58663333546,2025-11-12 13:40:00+00:00,high,51203.626117294276,77.17185799278437,29.876351224446424,35.44797891719663
Short,2025-11-13 04:35:00+00:00,2025-11-13 04:36:00+00:00,51203.679985823204,51213.2,51370.68788261497,50368.640501864385,2025-11-12 13:40:00+00:00,high,51203.679985823204,77.17185799278437,29.876351224446424,35.44797891719663
Short,2025-11-13 05:29:00+00:00,2025-11-13 05:30:00+00:00,51207.5229800229,51220.8,51374.08031275811,50374.736316346854,2025-11-12 13:40:00+00:00,high,51207.5229800229,77.17185799278437,41.906216301918136,35.44797891719663
Short,2025-11-13 05:34:00+00:00,2025-11-13 05:35:00+00:00,51207.663915904406,51225.1,51374.22124863962,50374.87725222836,2025-11-12 13:40:00+00:00,high,51207.663915904406,77.17185799278437,41.906216301918136,35.44797891719663
Short,2025-11-13 05:49:00+00:00,2025-11-13 05:52:00+00:00,51208.11572351745,51212.6,51374.67305625266,50375.3290598414,2025-11-12 13:40:00+00:00,high,51208.11572351745,77.17185799278437,41.906216301918136,35.44797891719663
Short,2025-11-13 05:53:00+00:00,2025-11-13 05:54:00+00:00,51208.14373855698,51231.7,51374.70107129219,50375.357074880936,2025-11-12 13:40:00+00:00,high,51208.14373855698,77.17185799278437,41.906216301918136,35.44797891719663
Short,2025-11-13 06:00:00+00:00,2025-11-13 06:01:00+00:00,51208.334429959956,51209.5,51370.15195321408,50399.246813689344,2025-11-12 13:40:00+00:00,high,51208.334429959956,77.17185799278437,45.101889206649844,35.44797891719663
Short,2025-11-13 06:08:00+00:00,2025-11-13 06:09:00+00:00,51208.244742588606,51216.0,51370.06226584273,50399.157126317994,2025-11-12 13:40:00+00:00,high,51208.244742588606,77.17185799278437,45.101889206649844,35.44797891719663
Short,2025-11-13 06:10:00+00:00,2025-11-13 06:11:00+00:00,51208.29026819923,51223.8,51370.10779145335,50399.202651928616,2025-11-12 13:40:00+00:00,high,51208.29026819923,77.17185799278437,45.101889206649844,35.44797891719663
Short,2025-11-13 06:12:00+00:00,2025-11-13 06:13:00+00:00,51208.32813569927,51235.2,51370.14565895339,50399.240519428655,2025-11-12 13:40:00+00:00,high,51208.32813569927,77.17185799278437,45.101889206649844,35.44797891719663
Short,2025-11-13 06:19:00+00:00,2025-11-13 06:20:00+00:00,51208.54199924049,51232.2,51370.35952249462,50399.45438296988,2025-11-12 13:40:00+00:00,high,51208.54199924049,77.17185799278437,45.101889206649844,35.44797891719663
Short,2025-11-13 07:59:00+00:00,2025-11-13 08:04:00+00:00,51211.39425821495,51219.6,51367.89457163304,50428.89269112447,2025-11-12 13:40:00+00:00,high,51211.39425821495,77.17185799278437,50.91701578189304,35.44797891719663
Short,2025-11-13 08:05:00+00:00,2025-11-13 08:06:00+00:00,51211.31659693166,51236.9,51367.81691034976,50428.815029841186,2025-11-12 13:40:00+00:00,high,51211.31659693166,72.04327428233388,50.91701578189304,33.495010839706445
Short,2025-11-13 08:12:00+00:00,2025-11-13 08:24:00+00:00,51211.512944071445,51220.3,51368.01325748954,50429.01137698097,2025-11-12 13:40:00+00:00,high,51211.512944071445,72.04327428233388,50.91701578189304,33.495010839706445
Short,2025-11-13 08:26:00+00:00,2025-11-13 08:27:00+00:00,51211.50666645187,51215.0,51368.14981462581,50428.29092558214,2025-11-12 13:40:00+00:00,high,51211.50666645187,72.04327428233388,54.235140369220304,33.495010839706445
